,Year,State,Overall_Homeless,average_debt,population,total_poverty_rate,total_drug_rate
287,2013,Washington,0.002549434042868389,1.95,6966252,0.0009871879455408733,0.00023900944151891145
288,2013,Wisconsin,0.00106378306633029,1.28,5738012,0.0009785619130806976,0.00018996126184469466
289,2013,West Virginia,0.0012076982134692855,1.175,1854768,0.0009731675336214557,0.00016390190039940306
290,2013,Wyoming,0.0016357145309120868,1.28,582620,0.0010160996876180015,0.0001664893069238955
291,2012,Alaska,0.0026176434367345823,1.55,730810,0.0009605779888069402,0.00023398694599143416
292,2012,Alabama,0.0010814610707232772,1.55,4816632,0.000998207876375027,0.00015031250051903488
293,2012,Arkansas,0.0014270832910017216,1.28,2952876,0.0009851412656677761,0.00014528209108679132
294,2012,Arizona,0.001723826571638096,1.95,6556344,0.0010130645981968,0.00019263784816660016
295,2012,Colorado,0.003228551734229811,1.95,5193660,0.0009921712241463632,0.00025107534956081065
296,2012,Connecticut,0.0011707240548607578,1.55,3595211,0.0009782457830708685,0.00020499492241206427
297,2012,Delaware,0.0011010160368228696,1.66,915518,0.0009830500328775623,0.00019988684001843765
298,2012,Georgia,0.002071574117642307,1.78,9903580,0.0009759097215350409,0.00016196163407575847
299,2012,Iowa,0.0009516244567485384,1.28,3076844,0.000978275141671141,0.00015860407612475642
300,2012,Idaho,0.0012331522454273737,1.95,1595910,0.000995043580151763,0.00015289082717697113
301,2012,Illinois,0.0010978784569995147,1.45,12883029,0.0009881216598984603,0.00017332880334275426
302,2012,Indiana,0.0009571816071261169,1.36,6538989,0.0009700276296534526,0.00016990394080797507
303,2012,Kansas,0.0009299991961258811,1.175,2886024,0.0009798948310894159,0.00014344995052016198
304,2012,Kentucky,0.0011919236348429134,1.36,4387865,0.0009895473083150917,0.0001458568119119435
305,2012,Louisiana,0.001688806355926587,1.28,4602067,0.0009702162093685294,0.00015992813663947091
306,2012,Massachusetts,0.00262609447487789,1.45,6664269,0.0009852543467257998,0.00022343035672779714
307,2012,Maine,0.0018018302921329365,1.78,1328094,0.0010014351393801944,0.00021609916165572616
308,2012,Michigan,0.001272139053527332,1.45,9898289,0.0009830992002759266,0.00020528800482588454
309,2012,Minnesota,0.0014400743840074384,1.55,5377500,0.000995443979544398,0.00017368665736866573
310,2012,Missouri,0.0016987975659584664,1.36,6026027,0.0009883792422436873,0.00017042738109205287
311,2012,Mississippi,0.000808483819769423,1.45,2984599,0.0009693094449204064,0.0001380419949212608
